name,description,WKT


"пер. 14 съезда ВЛКСМ","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 14 съезда ВЛКСМ</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3270</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р. Сакашильсу - р. Хуналычат</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;&nbsp;&nbsp;3.66'' N<br />42&deg;&nbsp;58'&nbsp;25.05'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>9676</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/9676'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.973625 43.317683333333 0)"
"пер. 2245","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2245</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2245</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>верховье реки Маркопидж и верховье реки Беркес</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;49'&nbsp;29.7'' N<br />40&deg;&nbsp;45'&nbsp;&nbsp;&nbsp;5.34'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 4 технических, 4 с фото</td></tr><tr><th>Номер</th><td>14872</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14872'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.751483333333 43.824916666667 0)"
"пер. 2600","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2600</font></h2></th></tr><tr><th>Другие названия</th><td>Шалаева Виктора</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2557</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р. Малая Дукка - р. Большая Дукка</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;31'&nbsp;23.5'' N<br />41&deg;&nbsp;&nbsp;&nbsp;3'&nbsp;46.7'' E</td></tr><tr><th>Описаний</th><td>7, в т.ч. 5 технических, 5 с фото</td></tr><tr><th>Номер</th><td>10277</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/10277'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.062972222222 43.523194444444 0)"
"пер. 3027","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 3027</font></h2></th></tr><tr><th>Другие названия</th><td>Партгали, Окно</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3027</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р.Сатхаро (р.Бзыбь) - р.Пардгали (р.Бзыбь)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;21'&nbsp;22.1'' N<br />41&deg;&nbsp;15'&nbsp;46.48'' E</td></tr><tr><th>Описаний</th><td>2 технических</td></tr><tr><th>Номер</th><td>11020</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/11020'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.262911111111 43.356138888889 0)"
"пер. 3050","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 3050</font></h2></th></tr><tr><th>Другие названия</th><td>Рододендронов</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2790</td></tr><tr><th>Характер склонов</th><td>тр</td></tr><tr><th>Соединяет</th><td>ледн.Адиш (Лардаад), р.Адишчала (р.Ингури) - ледн.Халде (Зарешо-Халде), р.Халдесчала</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;59'&nbsp;&nbsp;&nbsp;3.84'' N<br />42&deg;&nbsp;59'&nbsp;51.29'' E</td></tr><tr><th>Описаний</th><td>4 технических,  с фото</td></tr><tr><th>Номер</th><td>3747</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3747'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.997580555556 42.9844 0)"
"пер. 4-х","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 4-х</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2545</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Безымянка (р.Мал.Лаба) - р.Мзымта</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;38'&nbsp;41.25'' N<br />40&deg;&nbsp;29'&nbsp;59.95'' E</td></tr><tr><th>Номер</th><td>3318</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3318'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.4999861074 43.6447917468 0)"
"пер. 40 лет ТаССР","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 40 лет ТаССР</font></h2></th></tr><tr><th>Другие названия</th><td>40 лет Татарии</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3200</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>лед.М.Кичкинекол - р.Чунгур-Джар (р.Чириккол)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;14'&nbsp;59.78'' N<br />42&deg;&nbsp;13'&nbsp;&nbsp;&nbsp;7.43'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 3 технических, 5 с фото</td></tr><tr><th>Номер</th><td>6391</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/6391'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.21873 43.24994 0)"
"пер. 46-й армии","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 46-й армии</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2760</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Санчара (р.Бол.Лаба) - р.Грыбза (р.Бзыбь)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;40.9'' N<br />40&deg;&nbsp;58'&nbsp;54.61'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3362</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3362'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.9818348831 43.4280291439 0)"
