name,visibility,description,WKT


"пер. 10-летия Гвандры","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 10-летия Гвандры</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3500</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;20'&nbsp;54.14'' N<br />42&deg;&nbsp;17'&nbsp;36.03'' E</td></tr><tr><th>Номер</th><td>7520</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/7520'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.293342222222 43.348371388889 0)"
"пер. 100-летия Фрунзе","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 100-летия Фрунзе</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3992</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>расположен в Каяртинском отроге хребта Сакашиль между вершинами 4027 и 4100. Соединяет долины Каярта и Тютюсу. Ведет с л. Каярта на безымянный ледник в верховьях правого притока р. Зап. Каярта (Орелю)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;17'&nbsp;20.5'' N<br />42&deg;&nbsp;55'&nbsp;30.07'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 3 с фото</td></tr><tr><th>Номер</th><td>9683</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/9683'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.925019444444 43.289027777778 0)"
"пер. 13-ти","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 13-ти</font></h2></th></tr><tr><th>Другие названия</th><td>Тринадцати</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>2800</td></tr><tr><th>Характер склонов</th><td>ск-лд-ос</td></tr><tr><th>Соединяет</th><td>ледн.Кардывач, оз.Инспи (р.Цахвоа) - пр.исток р.Ауадхара</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;33'&nbsp;36.76'' N<br />40&deg;&nbsp;39'&nbsp;59.84'' E</td></tr><tr><th>Номер</th><td>3328</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3328'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.666622222222 43.560211111111 0)"
"пер. 2000 года","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2000 года</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б*</td></tr><tr><th>Высота</th><td>3280</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>верховья р.Накра - верховья р.Ненскра. Севернее в.Ненскра</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;25.23'' N<br />42&deg;&nbsp;25'&nbsp;18.16'' E</td></tr><tr><th>Номер</th><td>3661</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3661'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.421711111111 43.223675 0)"
"пер. 40-летия ВЛКСМ","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 40-летия ВЛКСМ</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б*</td></tr><tr><th>Высота</th><td>3489</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;16'&nbsp;&nbsp;&nbsp;8.42'' N<br />42&deg;&nbsp;24'&nbsp;49.25'' E</td></tr><tr><th>Номер</th><td>9694</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/9694'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.413680555556 43.269005555556 0)"
"пер. 75 лет КГБЗ","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 75 лет КГБЗ</font></h2></th></tr><tr><th>Другие названия</th><td>75 лет Кавказского горно-биосферного заповедника</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3150</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>1-ый ЛП р.Пслух (р.Мзымта) - р.Чистая (р.Мал.Лаба)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;43'&nbsp;25.24'' N<br />40&deg;&nbsp;26'&nbsp;37.12'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3315</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3315'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.4436446533 43.7236769165 0)"
"пер. 810-го стрелкового полка","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 810-го стрелкового полка</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3000</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>ледн.Бугойчат, р.Кизгыч - р.Марух Южн.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;21'&nbsp;57.1'' N<br />41&deg;&nbsp;21'&nbsp;43.24'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 2 технических, 3 с фото</td></tr><tr><th>Номер</th><td>3399</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3399'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.362011111111 43.365861111111 0)"
"пер. 9 Мая","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 9 Мая</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3664</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Думала (р.Черек Безенгийский) - ледн.Укю, р.Укю (р.Думала, р.Черек Безенгийский)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;26.2'' N<br />43&deg;&nbsp;14'&nbsp;28'' E</td></tr><tr><th>Описаний</th><td>9, в т.ч. 9 технических, 8 с фото</td></tr><tr><th>Номер</th><td>105</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/105'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.241111111111 43.090611111111 0)"
