name,visibility,description,WKT


"пер. 30 лет советского альпинизма","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 30 лет советского альпинизма</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3700</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>р.Суллукол (р.Адырсу) - лед.Сабалык (р.Тютюсу). В западном плече в. Суллукол.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;16'&nbsp;18.52'' N<br />42&deg;&nbsp;49'&nbsp;59.79'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 5 технических, 3 с фото</td></tr><tr><th>Номер</th><td>27</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/27'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.8332755331 43.2718124259 0)"
"пер. 50 лет Октября","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 50 лет Октября</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3690</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>лед.Китлод - лед.Цаннер</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;37.78'' N<br />42&deg;&nbsp;57'&nbsp;39.76'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 4 технических, 2 с фото</td></tr><tr><th>Номер</th><td>3738</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3738'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.961044444444 43.093827777778 0)"
"пер. Адсиз","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Адсиз</font></h2></th></tr><tr><th>Другие названия</th><td>N9, Ёжик</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3500</td></tr><tr><th>Характер склонов</th><td>ск-сн</td></tr><tr><th>Соединяет</th><td>плато Едигёль - дол.Карагёль (р.Базармут)</td></tr><tr><th>Координаты WGS84</th><td>37&deg;&nbsp;46'&nbsp;56.4'' N<br />35&deg;&nbsp;11'&nbsp;&nbsp;&nbsp;9'' E</td></tr><tr><th>Описаний</th><td>6, в т.ч. 5 технических, 4 с фото</td></tr><tr><th>Номер</th><td>6506</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/6506'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (35.185833 37.782333 0)"
"пер. Азимба","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Азимба</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3190</td></tr><tr><th>Характер склонов</th><td>лд-ос</td></tr><tr><th>Соединяет</th><td>ледн.Аманауз, р.Аманауз (р.Псыш, р.Зеленчук Бол.) - ледн.Лабинский, р.Азимба (р.Бол.Лаба)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;16.8'' N<br />41&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;54.02'' E</td></tr><tr><th>Описаний</th><td>19, в т.ч. 12 технических, 17 с фото</td></tr><tr><th>Номер</th><td>3406</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3406'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.098338888889 43.421333333333 0)"
"пер. Азот","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Азот</font></h2></th></tr><tr><th>Категория сложности</th><td>2А*</td></tr><tr><th>Высота</th><td>3826</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>ледник Азот - ледник Адырсу</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;12'&nbsp;35.66'' N<br />42&deg;&nbsp;50'&nbsp;40.09'' E</td></tr><tr><th>Описаний</th><td>2 технических,  с фото</td></tr><tr><th>Номер</th><td>14956</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14956'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.844469444444 43.209905555556 0)"
"пер. Акмана Г.В.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Акмана Г.В.</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3250</td></tr><tr><th>Характер склонов</th><td>лд-сн-ск</td></tr><tr><th>Соединяет</th><td>р.Кышлаусу(р.Псыш) -лед.Ак-Айры( р.София). Между в.Ак-Айры (Вера)(севернее ее) и в.3320</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;&nbsp;&nbsp;4.91'' N<br />41&deg;&nbsp;15'&nbsp;&nbsp;&nbsp;5.69'' E</td></tr><tr><th>Описаний</th><td>1 с фото</td></tr><tr><th>Номер</th><td>198</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/198'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.25158 43.41803 0)"
"пер. Аксаут","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксаут</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3180</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>ледн.Аксаут, р.Аксаут - р.Чхалта</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;18'&nbsp;21.49'' N<br />41&deg;&nbsp;26'&nbsp;21.84'' E</td></tr><tr><th>Номер</th><td>3475</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3475'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.4394 43.30597 0)"
"пер. Аксаут Зап.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксаут Зап.</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3260</td></tr><tr><th>Характер склонов</th><td>сл-сн</td></tr><tr><th>Соединяет</th><td>ледн.Аксаут Зап., р.Аксаут - р.Карач (р.Марух Южн.)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;13.22'' N<br />41&deg;&nbsp;25'&nbsp;&nbsp;&nbsp;6.74'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3474</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3474'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.41854 43.32034 0)"
