name,description,WKT


"пер. 2187","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2187</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2187</td></tr><tr><th>Характер склонов</th><td>тр</td></tr><tr><th>Соединяет</th><td>долины рек Ацгара (на западе) и Малый Уруп (на востоке)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;42'&nbsp;43.56'' N<br />41&deg;&nbsp;&nbsp;&nbsp;2'&nbsp;10.44'' E</td></tr><tr><th>Описаний</th><td>2 технических,  с фото</td></tr><tr><th>Номер</th><td>14929</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14929'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.036233333333 43.7121 0)"
"пер. 2230","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2230</font></h2></th></tr><tr><th>Другие названия</th><td>Сосновый</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2176</td></tr><tr><th>Характер склонов</th><td>тр</td></tr><tr><th>Соединяет</th><td>р. Соленая - р. Сосновая (все басс. р. Б. Лаба)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;44'&nbsp;&nbsp;&nbsp;6.06'' N<br />40&deg;&nbsp;52'&nbsp;56.22'' E</td></tr><tr><th>Описаний</th><td>3 технических,  с фото</td></tr><tr><th>Номер</th><td>11108</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/11108'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.882283333333 43.735016666667 0)"
"пер. 2258","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2258</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2258</td></tr><tr><th>Характер склонов</th><td>тр</td></tr><tr><th>Соединяет</th><td>долину Малого Урупа (на западе) с долиной реки Чилик (на востоке)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;42'&nbsp;28.38'' N<br />41&deg;&nbsp;&nbsp;&nbsp;6'&nbsp;43.2'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>14930</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14930'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.112 43.707883333333 0)"
"пер. 2300","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2300</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2300</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р. Уруп - р. Ацгара</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;42'&nbsp;48.89'' N<br />40&deg;&nbsp;59'&nbsp;&nbsp;&nbsp;6.92'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>11115</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/11115'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.985255555556 43.71358055555599 0)"
"пер. 2316","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2316</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2316</td></tr><tr><th>Характер склонов</th><td>тр</td></tr><tr><th>Соединяет</th><td>реки Уруп (на западе) и Ацгара (на востоке)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;42'&nbsp;49.74'' N<br />40&deg;&nbsp;59'&nbsp;&nbsp;&nbsp;3.54'' E</td></tr><tr><th>Описаний</th><td>2 технических,  с фото</td></tr><tr><th>Номер</th><td>14928</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14928'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.984316666667 43.713816666667 0)"
"пер. 2457","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2457</font></h2></th></tr><tr><th>Другие названия</th><td>Белая Скала</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2457</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td> истоки рек Б.Блыб на юге и Правый Рожкао на севере</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;47'&nbsp;33.96'' N<br />40&deg;&nbsp;48'&nbsp;23.7'' E</td></tr><tr><th>Описаний</th><td>2 технических</td></tr><tr><th>Номер</th><td>14873</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14873'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.806583333333 43.792766666667 0)"
"пер. 2600","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2600</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2690</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>40&deg;&nbsp;51'&nbsp;12.55'' N<br />41&deg;&nbsp;18'&nbsp;29.85'' E</td></tr><tr><th>Номер</th><td>14025</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14025'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.308291666667 40.853486111111 0)"
"пер. 2785","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2785</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2785</td></tr><tr><th>Характер склонов</th><td>тропа</td></tr><tr><th>Соединяет</th><td>оз.Тоба-Вачхили, р.Нашхора (р.Магана, р.Ингури) - оз.Каляши, р.Хобицкали</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;47'&nbsp;23.34'' N<br />42&deg;&nbsp;14'&nbsp;45.84'' E</td></tr><tr><th>Номер</th><td>15535</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/15535'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.246067 42.789817 0)"
